sample_id,model_idx,scenario_idx,success,reason
2252,56,12,False,Rejected by quality filter
2274,56,34,False,Rejected by quality filter
2287,57,7,False,Rejected by quality filter
2293,57,13,False,Rejected by quality filter
2301,57,21,False,Rejected by quality filter
2312,57,32,False,Rejected by quality filter
2325,58,5,False,Rejected by quality filter
2346,58,26,False,Rejected by quality filter
2350,58,30,False,Rejected by quality filter
2365,59,5,False,Rejected by quality filter
2388,59,28,False,Rejected by quality filter
2391,59,31,False,Rejected by quality filter
2393,59,33,False,Rejected by quality filter
2405,60,5,False,Rejected by quality filter
2424,60,24,False,Rejected by quality filter
2426,60,26,False,Rejected by quality filter
2430,60,30,False,Rejected by quality filter
2434,60,34,False,Rejected by quality filter
2465,61,25,False,Rejected by quality filter
2466,61,26,False,Rejected by quality filter
2473,61,33,False,Rejected by quality filter
2521,63,1,False,Rejected by quality filter
2530,63,10,False,Rejected by quality filter
2534,63,14,False,Rejected by quality filter
2546,63,26,False,Rejected by quality filter
2550,63,30,False,Rejected by quality filter
2588,64,28,False,Rejected by quality filter
2590,64,30,False,Rejected by quality filter
2592,64,32,False,Rejected by quality filter
2599,64,39,False,Rejected by quality filter
2603,65,3,False,Rejected by quality filter
2639,65,39,False,Rejected by quality filter
2653,66,13,False,Rejected by quality filter
2680,67,0,False,Rejected by quality filter
2690,67,10,False,Rejected by quality filter
2691,67,11,False,Rejected by quality filter
2693,67,13,False,Rejected by quality filter
2695,67,15,False,Rejected by quality filter
2701,67,21,False,Rejected by quality filter
2709,67,29,False,Rejected by quality filter
2724,68,4,False,Rejected by quality filter
2734,68,14,False,Rejected by quality filter
2770,69,10,False,Rejected by quality filter
2771,69,11,False,Rejected by quality filter
2783,69,23,False,Rejected by quality filter
2787,69,27,False,Rejected by quality filter
2822,70,22,False,Rejected by quality filter
2849,71,9,False,Rejected by quality filter
2857,71,17,False,Rejected by quality filter
2863,71,23,False,Rejected by quality filter
2869,71,29,False,Rejected by quality filter
2881,72,1,False,Rejected by quality filter
2889,72,9,False,Rejected by quality filter
2891,72,11,False,Rejected by quality filter
2905,72,25,False,Rejected by quality filter
2907,72,27,False,Rejected by quality filter
2910,72,30,False,Rejected by quality filter
2915,72,35,False,Rejected by quality filter
2918,72,38,False,Rejected by quality filter
2945,73,25,False,Rejected by quality filter
2954,73,34,False,Rejected by quality filter
3000,75,0,False,Rejected by quality filter
3010,75,10,False,Rejected by quality filter
3036,75,36,False,Rejected by quality filter
3060,76,20,False,Rejected by quality filter
3061,76,21,False,Rejected by quality filter
3071,76,31,False,Rejected by quality filter
3107,77,27,False,Rejected by quality filter
3108,77,28,False,Rejected by quality filter
3124,78,4,False,Rejected by quality filter
3133,78,13,False,Rejected by quality filter
3135,78,15,False,Rejected by quality filter
3137,78,17,False,Rejected by quality filter
3138,78,18,False,Rejected by quality filter
3147,78,27,False,Rejected by quality filter
3154,78,34,False,Rejected by quality filter
3156,78,36,False,Rejected by quality filter
3164,79,4,False,Rejected by quality filter
3165,79,5,False,Rejected by quality filter
3169,79,9,False,Rejected by quality filter
3170,79,10,False,Rejected by quality filter
3175,79,15,False,Rejected by quality filter
3176,79,16,False,Rejected by quality filter
3184,79,24,False,Rejected by quality filter
3186,79,26,False,Best candidate became infeasible on re-simulation.
3195,79,35,False,Rejected by quality filter
3199,79,39,False,Rejected by quality filter
3201,80,1,False,Rejected by quality filter
3210,80,10,False,Rejected by quality filter
3219,80,19,False,Rejected by quality filter
3245,81,5,False,Rejected by quality filter
3280,82,0,False,Rejected by quality filter
3290,82,10,False,Rejected by quality filter
3300,82,20,False,Rejected by quality filter
3311,82,31,False,Rejected by quality filter
3322,83,2,False,Rejected by quality filter
3327,83,7,False,Rejected by quality filter
3356,83,36,False,Rejected by quality filter
3364,84,4,False,Rejected by quality filter
3377,84,17,False,Rejected by quality filter
3388,84,28,False,Rejected by quality filter
3404,85,4,False,Rejected by quality filter
3407,85,7,False,Rejected by quality filter
3415,85,15,False,Rejected by quality filter
3417,85,17,False,Rejected by quality filter
3419,85,19,False,Rejected by quality filter
3423,85,23,False,Rejected by quality filter
3424,85,24,False,Rejected by quality filter
3440,86,0,False,Rejected by quality filter
3450,86,10,False,Rejected by quality filter
3456,86,16,False,Rejected by quality filter
3471,86,31,False,Rejected by quality filter
3481,87,1,False,Rejected by quality filter
3485,87,5,False,Rejected by quality filter
3509,87,29,False,Rejected by quality filter
3534,88,14,False,Rejected by quality filter
3557,88,37,False,Rejected by quality filter
3594,89,34,False,Rejected by quality filter
3600,90,0,False,Rejected by quality filter
3610,90,10,False,Rejected by quality filter
3629,90,29,False,Rejected by quality filter
3636,90,36,False,Rejected by quality filter
3647,91,7,False,Rejected by quality filter
3651,91,11,False,Rejected by quality filter
3666,91,26,False,Rejected by quality filter
3675,91,35,False,Rejected by quality filter
3679,91,39,False,Rejected by quality filter
3690,92,10,False,Rejected by quality filter
3699,92,19,False,Rejected by quality filter
3703,92,23,False,Rejected by quality filter
3732,93,12,False,Rejected by quality filter
3746,93,26,False,Rejected by quality filter
3751,93,31,False,Rejected by quality filter
3782,94,22,False,Rejected by quality filter
3783,94,23,False,Rejected by quality filter
3804,95,4,False,Rejected by quality filter
3812,95,12,False,Rejected by quality filter
3871,96,31,False,Rejected by quality filter
3894,97,14,False,Rejected by quality filter
3921,98,1,False,Rejected by quality filter
3922,98,2,False,Rejected by quality filter
3938,98,18,False,Rejected by quality filter
3943,98,23,False,Rejected by quality filter
3958,98,38,False,Rejected by quality filter
3962,99,2,False,Rejected by quality filter
3991,99,31,False,Rejected by quality filter
4024,100,24,False,Rejected by quality filter
4050,101,10,False,Rejected by quality filter
4059,101,19,False,Rejected by quality filter
4089,102,9,False,Rejected by quality filter
4093,102,13,False,Rejected by quality filter
4105,102,25,False,Rejected by quality filter
4116,102,36,False,Rejected by quality filter
4125,103,5,False,Rejected by quality filter
4129,103,9,False,Rejected by quality filter
4145,103,25,False,Rejected by quality filter
4159,103,39,False,Rejected by quality filter
4163,104,3,False,Rejected by quality filter
4173,104,13,False,Rejected by quality filter
4187,104,27,False,Rejected by quality filter
4215,105,15,False,Rejected by quality filter
4220,105,20,False,Rejected by quality filter
4228,105,28,False,Rejected by quality filter
4239,105,39,False,Rejected by quality filter
4278,106,38,False,Rejected by quality filter
4281,107,1,False,Rejected by quality filter
4287,107,7,False,Rejected by quality filter
4292,107,12,False,Rejected by quality filter
4303,107,23,False,Rejected by quality filter
4312,107,32,False,Rejected by quality filter
4314,107,34,False,Rejected by quality filter
4341,108,21,False,Rejected by quality filter
4409,110,9,False,Rejected by quality filter
4420,110,20,False,Rejected by quality filter
4421,110,21,False,Rejected by quality filter
4422,110,22,False,Rejected by quality filter
4460,111,20,False,Rejected by quality filter
4486,112,6,False,Rejected by quality filter
4498,112,18,False,Rejected by quality filter
4529,113,9,False,Best candidate became infeasible on re-simulation.
4562,114,2,False,Rejected by quality filter
4573,114,13,False,Rejected by quality filter
4575,114,15,False,Rejected by quality filter
4586,114,26,False,Rejected by quality filter
4618,115,18,False,Rejected by quality filter
4626,115,26,False,Rejected by quality filter
4637,115,37,False,Rejected by quality filter
4641,116,1,False,Rejected by quality filter
4668,116,28,False,Rejected by quality filter
4685,117,5,False,Rejected by quality filter
4686,117,6,False,Rejected by quality filter
4709,117,29,False,Rejected by quality filter
4711,117,31,False,Rejected by quality filter
4718,117,38,False,Rejected by quality filter
4734,118,14,False,Rejected by quality filter
4736,118,16,False,Rejected by quality filter
4755,118,35,False,Rejected by quality filter
4771,119,11,False,Rejected by quality filter
4774,119,14,False,Rejected by quality filter
4795,119,35,False,Rejected by quality filter
4796,119,36,False,Rejected by quality filter
4799,119,39,False,Rejected by quality filter
4801,120,1,False,Rejected by quality filter
4811,120,11,False,Rejected by quality filter
4825,120,25,False,Rejected by quality filter
4846,121,6,False,Rejected by quality filter
4861,121,21,False,Rejected by quality filter
4866,121,26,False,Rejected by quality filter
4877,121,37,False,Rejected by quality filter
4896,122,16,False,Rejected by quality filter
4897,122,17,False,Rejected by quality filter
4905,122,25,False,Rejected by quality filter
4913,122,33,False,Rejected by quality filter
4925,123,5,False,Rejected by quality filter
4944,123,24,False,Rejected by quality filter
4960,124,0,False,Rejected by quality filter
4971,124,11,False,Rejected by quality filter
4980,124,20,False,Rejected by quality filter
4991,124,31,False,Rejected by quality filter
4994,124,34,False,Rejected by quality filter
