sample_id,model_idx,scenario_idx,success,Ra,La,J,b,Kt,Ke,gain_proxy,Te,Tm,reference_type,difficulty,ref_amplitude,ref_secondary_amplitude,reachable_output_proxy,reference_scale_ratio,disturbance_amplitude,noise_std,p1,p2,q1,q2,r1,iae,ise,iae_norm,ise_norm,rmse_norm,control_energy,control_variation,sat_ratio,final_error_abs,final_error_norm,overshoot,settling_time,output_range,meta_cost,quality_score,search_method,sample_dir
0,0,0,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,medium,1.6218492037149046,1.9001481694999816,4.317761118118373,0.4400771875791134,0.038731393592499594,0.031400430765124145,0.05197743159968609,1285.3349262104352,0.18076829131938307,1.9876017944312414,0.0003722497899024271,0.2448935684658793,0.18611708296207735,0.129864252205076,0.052337227914071256,0.20884050515898342,186.8226341822699,4.4275639559647155,0.06666666666666667,0.05346646311629244,0.028352652518169364,0.0,1.2,1.2078652227463906,2.760930359261525,0.9658236737409153,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000000
1,0,1,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,step,easy,1.362366906632218,1.1931393641635273,4.317761118118373,0.3155262343985164,0.04717453455866372,0.02999284003903213,4.0339332257631355,5.95335236411717,0.02952585134424637,845.6122243164046,0.002551615882311905,0.25496737612691933,0.3091112633310878,0.18715030061703478,0.16654310560477534,0.37253982516948814,137.81214710817608,13.50149263753159,0.03333333333333333,0.0033384239392260096,0.002450458773604991,0.06468201733594933,1.16,1.890173029458264,2.994055057437068,0.9758383671460077,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000001
2,0,2,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,easy,0.7809012016744541,1.2375126101341007,4.317761118118373,0.2866097906484909,-0.015544835275815731,0.029769726263103594,1.1514324117074617,1995.3935449767373,64.14480879066053,0.33500173814818,0.8288225678806338,0.1065356939015117,0.028806868690674774,0.08608857237419759,0.01881034612157331,0.12520099214720476,45.09497931320339,0.600541262274947,0.0,0.006422440951903585,0.005189798390181761,0.14182007517428863,0.9400000000000001,0.6611859671195169,1.1682720201888772,0.9690410857700513,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000002
3,0,3,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,easy,0.8436122406516473,1.2260835322400938,4.317761118118373,0.28396279893650206,-0.022516003034155074,0.11688812055248367,0.004254246589088696,0.025881587377118376,738.8372833786618,2.842149246314807,3.240344810738803,0.1305468341717368,0.02287836762342943,0.10647466566427456,0.015218957893187213,0.11261645044570241,62.99256417772823,2.1730034652330072,0.0,0.07077672193910134,0.05772585641843668,0.05772585641843668,1.2,0.704264124441155,1.4182329356372927,0.9595919005070943,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000003
4,0,4,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,easy,1.2370346777885064,0.7683477356955065,4.317761118118373,0.2864991007949951,0.01978210279104385,0.055298820129920725,6.874875473922479,3493.3378528884687,21.548215611444643,0.10529944690197454,0.000928715752324653,0.44645639973371554,0.6658665594386612,0.3681163820189414,0.4526884241482978,0.6141989526667355,82.2643419516209,3.407323896563442,0.0,0.07448903937478812,0.061418395370899014,0.0,1.2,2.6469961640662576,3.626750304376443,0.9692908023145504,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000004
5,0,5,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,medium,1.6319383999304837,1.6101190910152035,4.317761118118373,0.3779593996255315,0.031799862889923064,0.045491041710115525,3229.112570395717,1.0319125191271743,31.880390989370316,598.5058525339973,0.1551681692385401,0.3154302574125529,0.3712065138827098,0.19328563959643905,0.13938244078055195,0.3408108478082722,139.48726644217544,4.4129947813943495,0.03333333333333333,0.0525760297604565,0.032653503740090774,0.0027949816594731633,1.2,1.7019791184410622,2.721693857183121,0.97311425179806,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000005
6,0,6,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,step,easy,0.6742769772861665,1.0247924402844881,4.317761118118373,0.23734347784647244,-0.03192726169615911,0.006074742141186976,0.0031112455563816707,75.40055287425402,6.936581031179856,811.1013878494256,0.06649512125833887,0.1531573490173809,0.11816500017891737,0.1531573490173809,0.11816500017891737,0.3138006269630944,46.034252850253516,3.6693638072763477,0.0,0.006860734697134552,0.006860734697134552,0.04130761339721234,0.32,1.0002902620302694,1.479463915774218,0.9883081099719903,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000006
7,0,7,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,medium,1.9922427451256228,2.1881534329098904,4.317761118118373,0.5067796418212828,-0.03996324961107553,0.0019440257601340126,144.17849494557967,0.9221807840628266,0.3879941488745697,0.773647853265236,0.021806134624237243,0.7364256547206388,0.9468583185616761,0.3381156534801864,0.19959871214201347,0.40783852211180904,142.93844162247467,1.1276478987284666,0.0,0.15715775513439034,0.07215595591506258,0.0,1.2,2.303810533862827,3.365470360853572,0.9639220220424687,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000007
8,0,8,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,easy,0.7869307711099686,1.0803424973932894,4.317761118118373,0.2502089550206727,-0.014277452868422101,0.013607048369977797,0.030821755056449487,0.06894526568726898,21.14448013545436,451.7979663445071,0.0001669032470472891,0.1338364742294412,0.07062737528767027,0.12564691728733252,0.062248339115253064,0.22775780102858728,75.18079535962327,6.5939545759805505,0.0,0.01684778517104868,0.015816856219870692,0.015816856219870692,0.76,0.8866421260769437,1.594548667313019,0.9889282006460905,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000008
9,0,9,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,easy,0.7495684268946445,1.4783130348379083,4.317761118118373,0.34237953290990286,0.056301165281726864,0.052542411437704224,0.03738857297194519,1364.433034693322,0.019014392356999473,878.2421575933972,2.114194560304662,0.21887847613648612,0.05102573611806188,0.14805962673560905,0.023348364586342884,0.1394882449836511,73.8995305603596,0.42676803736280355,0.0,0.21660878161890063,0.14652429932923577,0.0,1.2,0.6683014650042074,1.7480653886397972,0.9267378503353821,LHS,mpc_pqr_dataset_streaming_debug\samples\sample_000009
