sample_id,model_idx,scenario_idx,success,Ra,La,J,b,Kt,Ke,gain_proxy,Te,Tm,reference_type,ref_amplitude,ref_secondary_amplitude,disturbance_amplitude,noise_std,q1,q2,r1,iae,ise,control_energy,control_variation,overshoot,settling_time,meta_cost,search_method,sample_dir
0,0,0,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,98.60643052769538,32.81136326755458,0.05754604803226582,0.411380806635415,5.233951332687845,0.001000110012026936,0.5107447750864883,206.89493653617066,17993.49383377603,1342.4030316427632,1.6000344388473628,0.0,2.4,36676.072630464645,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000000
1,0,1,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,42.72387217847769,75.45847870158349,0.10323509603414954,0.17726298406493418,0.029086930971342795,0.002719314388270143,0.5107447750864883,134.85077265646632,8229.631187621753,1342.3968823611795,1.6000098132030858,0.0,2.4,16932.214537821626,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000001
2,0,2,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,step,109.31211213221977,97.83834970737618,-0.13828420317298087,0.3415244766212273,0.05246817603518114,0.19579250709528276,3.8513637230343383,253.20158372776646,26719.573985370356,1342.4006375764843,1.6001168093131901,0.0,2.4,54267.1527596433,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000002
3,0,3,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,116.750973243421,52.58253581381519,-0.14803139786581135,0.23785246311296687,2.1101309145144036,0.002744355554293376,1.0200129518657466,249.70803292090525,26135.37267175219,1342.4123932734976,1.5999984005347332,0.0,2.4,53088.270061850795,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000003
4,0,4,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,step,86.98139946825104,63.715191887233075,0.13290392055808042,0.40238217874840093,23.370177397816093,0.04754750622455338,0.00034569776037483277,199.8543910542109,16643.34351781123,1342.3997362837108,1.6000177870932626,0.0,2.4,33954.650196488634,LHS,mpc_qr_dataset_streaming\samples\sample_000004
5,0,5,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,48.83281039302441,88.24955039749754,0.11476975100085535,0.33242542829601607,5.0328130962825,0.031124762124383504,0.052149026585184145,191.78331427996136,15359.588006651607,1342.401948717622,1.5999801539550107,0.0,2.4,31362.926052586678,LHS,mpc_qr_dataset_streaming\samples\sample_000005
6,0,6,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,multi_step,98.07290310219679,65.891577553834,0.06736118471618868,0.23554810307156626,3.9552866385024834,0.0060678648240328065,0.00012607032193301837,197.92411374878316,17027.561788766903,1342.4029787955328,1.6000282679355404,0.0,2.4,34717.296069133336,LHS,mpc_qr_dataset_streaming\samples\sample_000006
7,0,7,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,96.49988574160255,83.47183200005908,-0.18767286617282425,0.21835869461618118,1.0537717178317065,104.14370409189999,0.000245022483821217,217.62253901802927,19735.436654948928,1342.4047875815427,1.600016093793491,0.0,2.4,40192.1411671357,LHS,mpc_qr_dataset_streaming\samples\sample_000007
8,0,8,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,sine,60.852864372463614,105.34030732681661,-0.08256249689332656,0.33095825736344753,0.2172067180777068,0.19579250709528276,0.10185890112210284,231.23075324163838,22318.42365172619,1342.402232489171,1.5999583865675542,0.0,2.4,45398.93967272107,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000008
9,0,9,True,2.2191648388447707,0.4877756879504105,0.02602037087875935,0.22368416348712367,0.091883546957753,0.10951244703273513,0.1814251052846351,0.2198014673864117,0.11632638839118,step,98.38982091064135,86.43135403273875,-0.1909151707464558,0.045023930387820876,0.3346624506695323,0.005752359796294498,0.18006800425169397,224.73198318341906,21047.543506973656,1342.391998467475,1.6000096611269776,0.0,2.4,42837.682563904,LHS,mpc_qr_dataset_streaming\samples\sample_000009
10,1,0,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,multi_step,58.10212260964825,50.15120891478765,-0.1527976391517939,0.48094883227475727,5.108232805327901,5.421209545687677,0.016828186715062397,119.15009468490618,5985.025460934916,1342.403489661332,1.600007397428237,0.0,2.4,12395.90138077749,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000010
11,1,1,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,multi_step,89.97071338107496,46.58699614595196,-0.02025539914248453,0.1361207809225795,5.474619310344435,0.3535021263509666,0.0009011488593739091,173.1305304346281,13458.444744691482,1342.4002978843575,1.600002252057496,0.0,2.4,27504.68109569367,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000011
12,1,2,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,step,110.26023965438416,65.57762898336111,-0.12929088682430734,0.42830714204618775,33.45498194464326,12.414054179820026,0.024011537667037296,254.79601699970473,27065.276606572796,1342.4060526849028,1.5999961142510168,0.0,2.4,54963.34156658466,LHS,mpc_qr_dataset_streaming\samples\sample_000012
13,1,3,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,step,91.94629559509367,63.20930397751037,-0.16622227154404437,0.20790370108530482,5.10744775086488,5.107447750864883,0.0006111682109616709,208.70090704733602,18152.77150164501,1342.400996357553,1.6000008622706454,0.0,2.4,37000.045774293016,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000013
14,1,4,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,sine,69.39908192445189,52.98612123327853,-0.13176281258524558,0.4625600591883986,0.3703975755054351,2.914984131236802,0.09522321835052988,151.37869636871557,9559.80546068386,1342.398946771563,1.6000029557416242,0.0,2.4,19642.14695796023,LHS,mpc_qr_dataset_streaming\samples\sample_000014
15,1,5,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,sine,54.686980453483706,79.09154914814167,0.11309409090011452,0.041364999961219284,0.011320180739622359,0.1363888407523187,0.13166867597227955,170.64730692773628,12178.469867588181,1342.4017126952751,1.600016987205946,0.0,2.4,24937.281742443698,LHS,mpc_qr_dataset_streaming\samples\sample_000015
16,1,6,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,step,69.0706994354521,113.78264549749828,-0.06737240106297912,0.2603362012357689,13.303029311988212,1.7363193800990968,0.007600805809914316,155.39132368405856,10066.723123502012,1342.4063213949103,1.5999949602250203,0.0,2.4,20668.020533873954,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000016
17,1,7,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,sine,22.16120798803304,102.62919241943578,-0.15656970354582259,0.33612004651990585,6.870752947420874,0.0010001089256862505,0.4352488164365247,209.16310772687564,18439.300798695716,1342.405897812363,1.5999930248566956,0.0,2.4,37574.49121511392,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000017
18,1,8,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,step,85.94226346919018,92.69946142868827,-0.10791440364204768,0.01870627808808989,0.0010000877817300331,0.0010001349454298763,3.6427214616451167,196.83571228761934,16171.679800683209,1342.399990949856,1.59999757687424,0.0,2.4,33002.26673765561,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000018
19,1,9,True,2.1778874804771604,0.4923754460502775,0.016257804906470424,0.20012537301240363,0.09304624205426337,0.10392640750155474,0.20884839369890712,0.22607937759135352,0.08123809920625495,step,57.092228386243875,102.97897431324131,-0.08363286474395255,0.25752856461585727,11.094158100529805,0.08284476923525566,0.041506132870753845,126.69451187780022,6701.098299231164,1342.3982108692826,1.600001193230542,0.0,2.4,13850.680044698855,LHS,mpc_qr_dataset_streaming\samples\sample_000019
